x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336883.042582, 3449219.74486, 14.8983266703, 0.790000021458, -0.394312947552, 0.178808487293, 0.0, 1600653322.7911, 0.0821117010413, 1, 148.419000051, 0.0, 0.0, 91.9270858765
336883.048578, 3449219.74542, 14.8984054924, 0.790000021458, -0.406356730253, 0.178808487293, 0.0, 1600653322.8013, 0.0845527978388, 1, 148.426900051, 0.0, 0.0, 91.9270858765
336883.054529, 3449219.74599, 14.8984877689, 0.790000021458, -0.483580125222, 0.178808487293, 0.0, 1600653322.8111, 0.086958931517, 1, 148.434800052, 0.0, 0.0, 91.9270858765
336883.060431, 3449219.74659, 14.8985756764, 0.769999980927, -0.447883907277, 0.178808487293, 0.0, 1600653322.8212, 0.0893871795858, 1, 148.442500051, 0.0, 0.0, 91.9270858765
336883.066287, 3449219.74721, 14.8986726804, 0.769999980927, -0.445114510902, 0.178808487293, 0.0, 1600653322.8314, 0.0917720672135, 1, 148.450200051, 0.0, 0.0, 91.9270858765
336883.072095, 3449219.74785, 14.8987772635, 0.769999980927, -0.456459490023, 0.178808487293, 0.0, 1600653322.8412, 0.0941612632669, 1, 148.457900051, 0.0, 0.0, 91.9270858765
336883.077857, 3449219.74852, 14.8988897699, 0.769999980927, -0.434185185969, 0.178808487293, 0.0, 1600653322.8513, 0.0965017081503, 1, 148.465600051, 0.0, 0.0, 91.9270858765
336883.083573, 3449219.74921, 14.8989987215, 0.769999980927, -0.437650337758, 0.178808487293, 0.0, 1600653322.8612, 0.0988581288912, 1, 148.473300051, 0.0, 0.0, 91.9270858765
336883.089243, 3449219.74993, 14.8990978091, 0.769999980927, -0.438894637888, 0.178808487293, 0.0, 1600653322.8712, 0.101213584817, 1, 148.481000051, 0.0, 0.0, 91.9270858765
336883.094868, 3449219.75066, 14.8991906688, 0.759999990463, -0.433404393114, 0.178808487293, 0.0, 1600653322.8813, 0.103513893291, 1, 148.48860005, 0.0, 0.0, 91.9270858765
